"","NVC_Class","NCells","State"
"179",7192,145330,"Michigan"
"180",7193,856333,"Michigan"
"181",7195,42980,"Michigan"
"182",7196,9471,"Michigan"
"183",7197,21547,"Michigan"
"184",7198,21160,"Michigan"
"185",7199,8800,"Michigan"
"186",7200,58718,"Michigan"
"187",7292,151272225,"Michigan"
"188",7295,181736,"Michigan"
"189",7296,6603418,"Michigan"
"190",7297,3087152,"Michigan"
"191",7298,1575884,"Michigan"
"192",7299,12086551,"Michigan"
"193",7905,2195503,"Michigan"
"194",7906,711937,"Michigan"
"195",7907,1637087,"Michigan"
"196",7908,3504917,"Michigan"
"197",7909,1791942,"Michigan"
"198",7930,2436602,"Michigan"
"199",7931,696408,"Michigan"
"200",7932,3210337,"Michigan"
"201",7933,275209,"Michigan"
"202",7934,4132863,"Michigan"
"203",7952,1043552,"Michigan"
"204",7953,37280,"Michigan"
"205",7954,368481,"Michigan"
"206",7970,1181851,"Michigan"
"207",7971,152679,"Michigan"
"208",7972,140318,"Michigan"
"209",7973,7501,"Michigan"
"210",7974,58939125,"Michigan"
"211",7975,13013671,"Michigan"
"212",7976,1244210,"Michigan"
"213",7977,9038177,"Michigan"
"214",7978,4642809,"Michigan"
"215",7979,3199,"Michigan"
"216",9312,4583557,"Michigan"
"217",9314,482872,"Michigan"
"218",9315,3476008,"Michigan"
"219",9317,300029,"Michigan"
"220",9318,735652,"Michigan"
"221",9817,5473555,"Michigan"
"222",6035,2994150,"Wisconsin"
"223",6036,18998264,"Wisconsin"
"224",6037,331982,"Wisconsin"
"225",6038,243,"Wisconsin"
"226",6040,7494,"Wisconsin"
"227",6043,43540637,"Wisconsin"
"228",6044,2435396,"Wisconsin"
"229",6046,10258735,"Wisconsin"
"230",6048,1060142,"Wisconsin"
"231",6049,2335559,"Wisconsin"
"232",6051,256764,"Wisconsin"
"233",6052,878,"Wisconsin"
"234",6056,30606,"Wisconsin"
"235",6098,7213,"Wisconsin"
"236",6101,1332393,"Wisconsin"
"237",6102,1905585,"Wisconsin"
"238",6105,49266,"Wisconsin"
"239",6106,19858226,"Wisconsin"
"240",6130,7090264,"Wisconsin"
"241",6131,9417,"Wisconsin"
"242",6163,122986,"Wisconsin"
"243",6164,35549,"Wisconsin"
"244",6165,74969,"Wisconsin"
"245",6192,4330,"Wisconsin"
"246",6193,2,"Wisconsin"
"247",6197,32,"Wisconsin"
"248",6199,4,"Wisconsin"
"249",6208,58,"Wisconsin"
"250",6209,39933,"Wisconsin"
"251",6211,429822,"Wisconsin"
"252",6212,39966,"Wisconsin"
"253",6213,59055,"Wisconsin"
"254",6228,1075226,"Wisconsin"
"255",6229,19,"Wisconsin"
"256",6230,799753,"Wisconsin"
"257",6231,1286789,"Wisconsin"
"258",6232,782319,"Wisconsin"
"259",6305,19866,"Wisconsin"
"260",6309,234,"Wisconsin"
"261",6310,532,"Wisconsin"
"262",6325,1143,"Wisconsin"
"263",6329,439,"Wisconsin"
"264",6437,30910,"Wisconsin"
"265",6450,5608945,"Wisconsin"
"266",6451,919743,"Wisconsin"
"267",6501,37419,"Wisconsin"
"268",6502,63209,"Wisconsin"
"269",6577,475,"Wisconsin"
"270",6592,15,"Wisconsin"
"271",6593,29823,"Wisconsin"
"272",6609,10162,"Wisconsin"
"273",6613,1025559,"Wisconsin"
"274",6631,267693,"Wisconsin"
"275",7191,402355,"Wisconsin"
"276",7192,136798,"Wisconsin"
"277",7193,756761,"Wisconsin"
"278",7195,27618,"Wisconsin"
"279",7196,7726,"Wisconsin"
"280",7197,25186,"Wisconsin"
"281",7198,34406,"Wisconsin"
"282",7199,14922,"Wisconsin"
"283",7200,75092,"Wisconsin"
"284",7292,72301917,"Wisconsin"
"285",7295,103898,"Wisconsin"
"286",7296,2664058,"Wisconsin"
"287",7297,1098751,"Wisconsin"
"288",7298,467469,"Wisconsin"
"289",7299,7225907,"Wisconsin"
"290",7905,1331476,"Wisconsin"
"291",7906,391185,"Wisconsin"
"292",7907,871065,"Wisconsin"
"293",7908,2031836,"Wisconsin"
"294",7909,1068867,"Wisconsin"
"295",7930,1069490,"Wisconsin"
"296",7931,369161,"Wisconsin"
"297",7932,1314806,"Wisconsin"
"298",7933,164510,"Wisconsin"
"299",7934,2113617,"Wisconsin"
"300",7951,26,"Wisconsin"
"301",7952,507944,"Wisconsin"
"302",7953,15458,"Wisconsin"
"303",7954,225412,"Wisconsin"
"304",7970,43269,"Wisconsin"
"305",7971,186,"Wisconsin"
"306",7972,504,"Wisconsin"
"307",7973,13057,"Wisconsin"
"308",7974,49695099,"Wisconsin"
"309",7975,11642996,"Wisconsin"
"310",7976,105274,"Wisconsin"
"311",7977,10289583,"Wisconsin"
"312",7978,1346923,"Wisconsin"
"313",7979,37,"Wisconsin"
"314",9312,1814670,"Wisconsin"
"315",9314,568056,"Wisconsin"
"316",9315,3382111,"Wisconsin"
"317",9317,415464,"Wisconsin"
"318",9318,762171,"Wisconsin"
"319",9817,7049910,"Wisconsin"
"320",-9999,14609931,"Idaho"
"321",6040,80516,"Idaho"
"322",6059,31715432,"Idaho"
"323",6060,8532229,"Idaho"
"324",6061,15109496,"Idaho"
"325",6062,90052,"Idaho"
"326",6063,319206,"Idaho"
"327",6064,17732999,"Idaho"
"328",6065,39602224,"Idaho"
"329",6067,26402,"Idaho"
"330",6068,5294703,"Idaho"
"331",6069,21967666,"Idaho"
"332",6070,13271399,"Idaho"
"333",6071,10347570,"Idaho"
"334",6072,5772537,"Idaho"
"335",6073,69534,"Idaho"
"336",6074,289158,"Idaho"
"337",6075,3606,"Idaho"
"338",6077,337378,"Idaho"
"339",6078,1785041,"Idaho"
"340",6079,5988,"Idaho"
"341",6080,1076204,"Idaho"
"342",6081,265811,"Idaho"
"343",6082,379624,"Idaho"
"344",6100,89319,"Idaho"
"345",6117,1636758,"Idaho"
"346",6118,72242,"Idaho"
"347",6144,6270002,"Idaho"
"348",6145,17598353,"Idaho"
"349",6146,2545975,"Idaho"
"350",6147,6744187,"Idaho"
"351",6149,6427595,"Idaho"
"352",6151,47520,"Idaho"
"353",6152,90757,"Idaho"
"354",6153,135870,"Idaho"
"355",6156,327610,"Idaho"
"356",6157,5431403,"Idaho"
"357",6161,84,"Idaho"
"358",6181,4202828,"Idaho"
"359",6183,1282,"Idaho"
"360",6234,14116,"Idaho"
"361",6237,3644,"Idaho"
"362",6238,32705,"Idaho"
"363",6239,1064867,"Idaho"
"364",6240,2267481,"Idaho"
"365",6241,16811,"Idaho"
"366",6242,693904,"Idaho"
"367",6243,1331624,"Idaho"
"368",6252,4844,"Idaho"
"369",6258,98209,"Idaho"
"370",6259,490747,"Idaho"
"371",6281,2372742,"Idaho"
"372",6282,6132651,"Idaho"
"373",6284,1596373,"Idaho"
"374",6285,17672343,"Idaho"
"375",6286,21321868,"Idaho"
"376",6287,24326399,"Idaho"
"377",6288,53136856,"Idaho"
"378",6290,1649,"Idaho"
"379",6291,984089,"Idaho"
"380",6293,444672,"Idaho"
"381",6294,514953,"Idaho"
"382",6313,6217389,"Idaho"
"383",6317,41697,"Idaho"
"384",6318,16272,"Idaho"
"385",6320,3255934,"Idaho"
"386",6322,2979538,"Idaho"
"387",6330,2987210,"Idaho"
"388",6331,15188,"Idaho"
"389",6480,46033,"Idaho"
"390",6482,562585,"Idaho"
"391",6557,1685449,"Idaho"
"392",6637,646851,"Idaho"
"393",6641,48394,"Idaho"
"394",6659,20108,"Idaho"
"395",6684,94918,"Idaho"
"396",6689,7208,"Idaho"
"397",7191,813627,"Idaho"
"398",7192,484847,"Idaho"
"399",7193,580878,"Idaho"
"400",7195,3580934,"Idaho"
"401",7196,2356658,"Idaho"
"402",7197,877491,"Idaho"
"403",7198,10355,"Idaho"
"404",7199,13796,"Idaho"
"405",7200,27849,"Idaho"
"406",7292,6040415,"Idaho"
"407",7295,103815,"Idaho"
"408",7296,1178317,"Idaho"
"409",7297,461414,"Idaho"
"410",7298,87511,"Idaho"
"411",7299,4008376,"Idaho"
"412",7735,154595,"Idaho"
"413",7900,433738,"Idaho"
"414",7901,437165,"Idaho"
"415",7902,75047,"Idaho"
"416",7903,835423,"Idaho"
"417",7904,685997,"Idaho"
"418",7920,11178,"Idaho"
"419",7921,314660,"Idaho"
"420",7922,153,"Idaho"
"421",7923,442142,"Idaho"
"422",7924,786877,"Idaho"
"423",7940,33,"Idaho"
"424",7941,128,"Idaho"
"425",7942,145766,"Idaho"
"426",7943,115201,"Idaho"
"427",7944,132694,"Idaho"
"428",7960,25885,"Idaho"
"429",7961,10702,"Idaho"
"430",7962,5,"Idaho"
"431",7963,1635,"Idaho"
"432",7964,7981696,"Idaho"
"433",7965,17166071,"Idaho"
"434",7966,7628845,"Idaho"
