"","NVC_Class","CDL_Class","CDLYear","State","FIPS","Mismatch_NCells","Mismatch_PctTile"
"102",7970,176,2012,"AL","01049",3,2.49126396768665e-06
"103",7970,176,2012,"AL","01071",77,6.41621753143947e-05
"104",7970,176,2012,"AL","01081",1,8.3113290895687e-07
"105",7970,176,2012,"AL","01117",7,5.81859289799175e-06
"106",7970,176,2012,"AL","01123",2,1.66226581791374e-06
"107",7970,176,2012,"AL","01127",33,2.7410307922105e-05
"108",7970,176,2012,"AL","13123",14,1.1699894366668e-05
"109",7970,176,2012,"AL","13285",5,4.15566454478435e-06
"110",7970,176,2013,"AL","01009",28,2.3251797031742e-05
"111",7970,176,2013,"AL","01019",1,8.30421322562215e-07
"112",7970,176,2013,"AL","01043",13,1.07961887797035e-05
"113",7970,176,2013,"AL","01103",2,1.66226581791374e-06
"114",7970,176,2013,"AL","01111",1,8.3113290895687e-07
"115",7970,176,2013,"AL","01115",2,1.66084264512443e-06
"116",7970,176,2013,"AL","01121",2,1.66226581791374e-06
"117",7970,176,2013,"AL","01127",5,4.15210661281108e-06
"118",7970,176,2013,"AL","13067",1,8.3355839409974e-07
"119",7970,176,2014,"AL","01037",3,2.49339872687061e-06
"120",7970,176,2014,"AL","01049",25,2.076124465045e-05
"121",7970,176,2014,"AL","01051",2,1.66226581791374e-06
"122",7970,176,2014,"AL","01071",4,3.32329775883636e-06
"123",7970,176,2014,"AL","01117",2,1.66084264512443e-06
"124",7970,176,2014,"AL","13145",11,9.16914233509714e-06
"125",7970,176,2014,"AL","13199",23,1.9171843064294e-05
"126",7970,176,2014,"AL","13285",26,2.16725182465932e-05
"127",7970,176,2017,"AL","01073",2,1.66226581791374e-06
"128",7970,190,2015,"AL","01103",1,8.3113290895687e-07
"129",7972,176,2012,"AL","01123",4,3.32453163582748e-06
"130",7972,176,2014,"AL","01087",3,2.49339872687061e-06
"131",7972,176,2014,"AL","01123",18,1.49603923612237e-05
"132",7973,111,2012,"AL","13295",1,8.33275004083048e-07
"133",7973,121,2012,"AL","13295",1,8.33275004083048e-07
"134",7973,121,2013,"AL","01043",1,8.3113290895687e-07
"135",7973,121,2013,"AL","47099",1,8.33275004083048e-07
"136",7973,121,2014,"AL","01019",4,3.32453163582748e-06
"137",7973,121,2014,"AL","01049",2,1.66226581791374e-06
"138",7973,121,2014,"AL","01071",1,8.30421322562215e-07
"139",7973,121,2014,"AL","01095",1,8.31939834111197e-07
"140",7973,121,2015,"AL","01077",3,2.49982501224914e-06
"141",7973,121,2016,"AL","01049",6,4.98679745374122e-06
"142",7973,121,2016,"AL","01077",1,8.33275004083048e-07
"143",7973,122,2012,"AL","01121",1,8.31227556855965e-07
"144",7973,122,2014,"AL","01049",1,8.30421322562215e-07
"145",7973,122,2017,"AL","01071",1,8.30421322562215e-07
"146",7973,123,2015,"AL","01077",1,8.33275004083048e-07
"147",7973,131,2013,"AL","01115",1,8.3113290895687e-07
"148",7973,131,2014,"AL","01089",1,8.31227556855965e-07
"149",7973,141,2012,"AL","01073",1,8.3113290895687e-07
"150",7973,141,2012,"AL","13047",2,1.6665500081661e-06
"151",7973,141,2012,"AL","13295",8,6.66620003266438e-06
"152",7973,141,2013,"AL","01077",19,1.58322250775779e-05
"153",7973,141,2013,"AL","13213",2,1.6665500081661e-06
"154",7973,141,2013,"AL","13313",9,7.49947503674743e-06
"155",7973,141,2014,"AL","01007",1,8.3113290895687e-07
"156",7973,141,2014,"AL","01019",34,2.82585189045336e-05
"157",7973,141,2014,"AL","01049",32,2.65926951546466e-05
"158",7973,141,2014,"AL","01051",1,8.3113290895687e-07
"159",7973,141,2014,"AL","01071",1,8.31227556855965e-07
"160",7973,141,2015,"AL","13295",18,1.49989500734949e-05
"161",7973,141,2016,"AL","01049",15,1.24669936343531e-05
"162",7973,141,2016,"AL","01077",1,8.33275004083048e-07
"163",7973,141,2017,"AL","01049",7,5.81294925793551e-06
"164",7973,141,2017,"AL","01071",3,2.49207020198039e-06
"165",7973,141,2017,"AL","01073",1,8.3113290895687e-07
"166",7973,141,2017,"AL","01117",1,8.30421322562215e-07
"167",7973,142,2012,"AL","01073",8,6.64906327165496e-06
"168",7973,142,2012,"AL","01117",1,8.31227556855965e-07
"169",7973,142,2012,"AL","01127",1,8.30421322562215e-07
"170",7973,142,2012,"AL","13047",2,1.6665500081661e-06
"171",7973,142,2012,"AL","13295",1,8.33275004083048e-07
"172",7973,142,2014,"AL","01019",5,4.15566454478435e-06
"173",7973,142,2014,"AL","01049",5,4.15566454478435e-06
"174",7973,142,2015,"AL","01117",1,8.31227556855965e-07
"175",7973,142,2015,"AL","01127",1,8.30421322562215e-07
"176",7973,142,2015,"AL","13295",2,1.6665500081661e-06
"177",7973,142,2016,"AL","01049",3,2.49339872687061e-06
"178",7973,143,2012,"AL","13295",1,8.33275004083048e-07
"179",7973,143,2013,"AL","13313",4,3.33310001633219e-06
"180",7973,143,2014,"AL","01019",10,8.3113290895687e-06
