"","NVC_Class","CDL_Class","CDLYear","State","FIPS","Mismatch_NCells","Mismatch_PctTile"
"89",7970,142,2013,"AL","13145",3,2.50067518229922e-06
"90",7970,142,2013,"AL","13199",6,4.99992303858115e-06
"91",7970,142,2013,"AL","13285",1,8.3113290895687e-07
"92",7970,142,2014,"AL","13199",1,8.32844731091093e-07
"93",7970,143,2012,"AL","01015",1,8.30421322562215e-07
"94",7970,143,2012,"AL","01037",1,8.3113290895687e-07
"95",7970,143,2012,"AL","01049",10,8.31562795170548e-06
"96",7970,143,2012,"AL","01071",18,1.49940489447469e-05
"97",7970,143,2012,"AL","01095",1,8.30421322562215e-07
"98",7970,143,2012,"AL","01111",1,8.3113290895687e-07
"99",7970,143,2012,"AL","13123",1,8.35706740476286e-07
"100",7970,152,2012,"AL","01009",2,1.66084264512443e-06
"101",7970,152,2012,"AL","01019",1,8.30421322562215e-07
"102",7970,152,2012,"AL","01037",2,1.66226581791374e-06
"103",7970,152,2012,"AL","01043",6,4.98252793537329e-06
"104",7970,152,2012,"AL","01049",16,1.33238390207663e-05
"105",7970,152,2012,"AL","01051",1,8.3113290895687e-07
"106",7970,152,2012,"AL","01071",16,1.33324000653288e-05
"107",7970,152,2012,"AL","01073",1,8.3113290895687e-07
"108",7970,152,2012,"AL","01077",3,2.49982501224914e-06
"109",7970,152,2012,"AL","01121",2,1.66226581791374e-06
"110",7970,152,2012,"AL","01127",5,4.1549529583897e-06
"111",7970,152,2012,"AL","13145",2,1.66711678819948e-06
"112",7970,152,2012,"AL","13199",1,8.3355839409974e-07
"113",7970,152,2012,"AL","13213",1,8.35706740476286e-07
"114",7970,152,2012,"AL","13285",1,8.3355839409974e-07
"115",7970,152,2013,"AL","01071",3,2.49982501224914e-06
"116",7970,152,2013,"AL","13199",1,8.3355839409974e-07
"117",7970,176,2012,"AL","01009",28,2.32526032660358e-05
"118",7970,176,2012,"AL","01019",1,8.30421322562215e-07
"119",7970,176,2012,"AL","01021",2,1.66387966822239e-06
"120",7970,176,2012,"AL","01037",3,2.49581950233359e-06
"121",7970,176,2012,"AL","01043",29,2.40843531134882e-05
"122",7970,176,2012,"AL","01049",23,1.91253735526184e-05
"123",7970,176,2012,"AL","01051",3,2.49339872687061e-06
"124",7970,176,2012,"AL","01071",88,7.33175918675186e-05
