"","NVC_Class","CDL_Class","CDLYear","State","Mismatch_NCells","Mismatch_PctTile"
"111",7974,131,2014,"AL",1792,1.00148972709324
"112",7974,131,2015,"AL",2006,1.00166750636983
"113",7974,131,2016,"AL",241,1.00020034458462
"114",7974,131,2017,"AL",740,1.00061500429076
"115",7974,141,2012,"AL",69218,1.05756917163078
"116",7974,141,2013,"AL",13157,1.01094390546251
"117",7974,141,2014,"AL",7701,1.00640651435757
"118",7974,141,2015,"AL",3913,1.00325386483028
"119",7974,141,2016,"AL",976,1.00081187577065
"120",7974,141,2017,"AL",681,1.00056644424478
"121",7974,142,2012,"AL",13471,1.01119974439401
"122",7974,142,2013,"AL",5622,1.00467559992643
"123",7974,142,2014,"AL",1299,1.00108000351409
"124",7974,142,2015,"AL",1451,1.00120606133923
"125",7974,142,2016,"AL",234,1.00019452971622
"126",7974,142,2017,"AL",150,1.00012472748702
"127",7974,143,2012,"AL",8283,1.00688729401494
"128",7974,143,2013,"AL",2161,1.00179685925988
"129",7974,143,2014,"AL",1118,1.00092970750455
"130",7974,143,2015,"AL",314,1.00026110035091
"131",7974,143,2016,"AL",139,1.00011557038375
"132",7974,143,2017,"AL",60,1.00004990243622
"133",7974,152,2012,"AL",38391,1.03192888053665
"134",7974,152,2013,"AL",25233,1.02098368047451
"135",7974,152,2014,"AL",18189,1.01512455471055
"136",7974,152,2015,"AL",59296,1.04931410304426
"137",7974,152,2016,"AL",15447,1.012848587183
"138",7974,152,2017,"AL",10429,1.00867150415768
"139",7974,190,2012,"AL",3884,1.00322910134365
"140",7974,190,2013,"AL",504,1.0004190791626
"141",7974,190,2014,"AL",505,1.00041984757121
"142",7974,190,2015,"AL",131,1.00010895544198
"143",7974,190,2016,"AL",65,1.00005403417768
"144",7974,190,2017,"AL",31,1.00002577143557
"145",7974,195,2012,"AL",41,1.00003408631403
"146",7974,195,2013,"AL",53,1.00004403761596
"147",7974,195,2014,"AL",156,1.0001297401383
"148",7974,195,2015,"AL",21,1.00001747222574
"149",7974,195,2016,"AL",10,1.00000831134376
"150",7974,195,2017,"AL",15,1.00001248926933
"151",7974,220,2017,"AL",1,1.00000083113291
"152",7974,242,2012,"AL",2,1.00000166226582
"153",7974,242,2014,"AL",5,1.00000415566454
"154",7974,242,2015,"AL",1,1.00000083113291
"155",7974,242,2016,"AL",2,1.00000166226582
"156",7975,67,2016,"AL",1,1.00000083042132
"157",7975,74,2015,"AL",1,1.000000833275
"158",7975,111,2012,"AL",178,1.00014799190715
"159",7975,111,2013,"AL",239,1.00019860652894
"160",7975,111,2014,"AL",42,1.00003490189386
"161",7975,111,2015,"AL",14,1.00001164001796
"162",7975,111,2016,"AL",10,1.00000831848163
"163",7975,111,2017,"AL",21,1.00001747756087
"164",7975,121,2012,"AL",3011,1.00250430520742
"165",7975,121,2013,"AL",752,1.00062545191987
"166",7975,121,2014,"AL",358,1.00029783096752
"167",7975,121,2015,"AL",4,1.00000333310002
"168",7975,122,2012,"AL",254,1.00021127233234
"169",7975,122,2013,"AL",40,1.00003326986824
"170",7975,122,2014,"AL",17,1.00001414540222
"171",7975,123,2012,"AL",23,1.00001913158273
"172",7975,123,2014,"AL",8,1.00000665059853
"173",7975,124,2012,"AL",5,1.00000416422366
"174",7975,131,2012,"AL",154,1.0001279781766
"175",7975,131,2013,"AL",90,1.0000748142549
"176",7975,131,2014,"AL",39,1.00003240658475
"177",7975,131,2015,"AL",56,1.00004656620285
"178",7975,131,2016,"AL",14,1.00001163588273
"179",7975,131,2017,"AL",11,1.00000914318826
"180",7975,141,2012,"AL",10532,1.00876178600505
"181",7975,141,2013,"AL",1162,1.00096646190272
"182",7975,141,2014,"AL",901,1.00074958231146
"183",7975,141,2015,"AL",364,1.0003027772664
"184",7975,141,2016,"AL",130,1.00010813486072
"185",7975,141,2017,"AL",73,1.00006074015863
"186",7975,142,2012,"AL",1223,1.00101638980227
"187",7975,142,2013,"AL",485,1.00040295608451
"188",7975,142,2014,"AL",103,1.0000856496682
"189",7975,142,2015,"AL",90,1.0000748414436
"190",7975,142,2016,"AL",19,1.00001578726309
"191",7975,142,2017,"AL",13,1.0000108161916
"192",7975,143,2012,"AL",862,1.00071666685775
"193",7975,143,2013,"AL",98,1.00008147201311
"194",7975,143,2014,"AL",101,1.00008398743173
"195",7975,143,2015,"AL",31,1.00002579103939
"196",7975,143,2016,"AL",12,1.00000997870069
"197",7975,143,2017,"AL",4,1.00000333105534
"198",7975,152,2012,"AL",3532,1.00293798523148
"199",7975,152,2013,"AL",3062,1.00254642762466
"200",7975,152,2014,"AL",2184,1.00181654029953
"201",7975,152,2015,"AL",7504,1.00624314154631
"202",7975,152,2016,"AL",1502,1.00124964337777
"203",7975,152,2017,"AL",1114,1.00092689974376
