"Class","NCells","State","County"
"1",7734,"AL","Autauga County"
"2",25558,"AL","Autauga County"
"4",14,"AL","Autauga County"
"5",5300,"AL","Autauga County"
"10",993,"AL","Autauga County"
"24",2532,"AL","Autauga County"
"26",4809,"AL","Autauga County"
"29",19,"AL","Autauga County"
"37",72846,"AL","Autauga County"
"44",685,"AL","Autauga County"
"48",203,"AL","Autauga County"
"53",148,"AL","Autauga County"
"54",68,"AL","Autauga County"
"57",239,"AL","Autauga County"
"59",137,"AL","Autauga County"
"61",3058,"AL","Autauga County"
"67",105,"AL","Autauga County"
"74",1391,"AL","Autauga County"
"111",24120,"AL","Autauga County"
"121",69357,"AL","Autauga County"
"122",20605,"AL","Autauga County"
"123",5821,"AL","Autauga County"
"124",1415,"AL","Autauga County"
"131",2651,"AL","Autauga County"
"141",404435,"AL","Autauga County"
"142",370939,"AL","Autauga County"
"143",145749,"AL","Autauga County"
"152",243948,"AL","Autauga County"
"176",232163,"AL","Autauga County"
"190",90209,"AL","Autauga County"
"195",1514,"AL","Autauga County"
"209",1,"AL","Autauga County"
"222",85,"AL","Autauga County"
"229",12,"AL","Autauga County"
"238",497,"AL","Autauga County"
"240",35,"AL","Autauga County"
"1",43232,"AL","Baldwin County"
"2",46447,"AL","Baldwin County"
"4",2568,"AL","Baldwin County"
"5",40472,"AL","Baldwin County"
"10",96437,"AL","Baldwin County"
"12",890,"AL","Baldwin County"
"24",11394,"AL","Baldwin County"
"26",49430,"AL","Baldwin County"
"27",728,"AL","Baldwin County"
"28",1244,"AL","Baldwin County"
"29",2411,"AL","Baldwin County"
"37",17192,"AL","Baldwin County"
"43",1,"AL","Baldwin County"
"44",1383,"AL","Baldwin County"
"46",5263,"AL","Baldwin County"
"48",9,"AL","Baldwin County"
"59",53236,"AL","Baldwin County"
"61",72905,"AL","Baldwin County"
"74",18056,"AL","Baldwin County"
"92",14,"AL","Baldwin County"
"111",138021,"AL","Baldwin County"
"121",224222,"AL","Baldwin County"
"122",79141,"AL","Baldwin County"
"123",23635,"AL","Baldwin County"
"124",6375,"AL","Baldwin County"
"131",18102,"AL","Baldwin County"
"141",12304,"AL","Baldwin County"
"142",1857116,"AL","Baldwin County"
"143",41141,"AL","Baldwin County"
"152",308629,"AL","Baldwin County"
"176",404601,"AL","Baldwin County"
"190",1012509,"AL","Baldwin County"
"195",77660,"AL","Baldwin County"
"209",1,"AL","Baldwin County"
"221",80,"AL","Baldwin County"
"225",144,"AL","Baldwin County"
"226",942,"AL","Baldwin County"
"229",1,"AL","Baldwin County"
"236",217,"AL","Baldwin County"
"238",33663,"AL","Baldwin County"
"240",4621,"AL","Baldwin County"
"1",8554,"AL","Barbour County"
"2",25371,"AL","Barbour County"
"4",498,"AL","Barbour County"
"5",2132,"AL","Barbour County"
"10",14580,"AL","Barbour County"
"24",436,"AL","Barbour County"
"26",151,"AL","Barbour County"
"27",30,"AL","Barbour County"
"28",79,"AL","Barbour County"
"29",356,"AL","Barbour County"
"36",15,"AL","Barbour County"
"37",92783,"AL","Barbour County"
