"","NVC_Class","NCells","State"
"198",6229,42065,"IL"
"199",6231,518080,"IL"
"200",6232,1578,"IL"
"201",6305,10542,"IL"
"202",6309,285,"IL"
"203",6310,633,"IL"
"204",6327,3813,"IL"
"205",6357,40,"IL"
"206",6414,6515,"IL"
"207",6415,6,"IL"
"208",6437,87,"IL"
"209",6502,3624,"IL"
"210",6503,1,"IL"
"211",6510,11343,"IL"
"212",6513,877,"IL"
"213",6573,550,"IL"
"214",6575,837,"IL"
"215",6591,411,"IL"
"216",6609,2102,"IL"
"217",6613,11039,"IL"
"218",6631,3168,"IL"
"219",7191,10266,"IL"
"220",7192,583,"IL"
"221",7193,1529,"IL"
"222",7195,1116,"IL"
"223",7196,334,"IL"
"224",7197,376,"IL"
"225",7198,229,"IL"
"226",7199,7,"IL"
"227",7200,85,"IL"
"228",7292,7438024,"IL"
"229",7295,67142,"IL"
"230",7296,4306862,"IL"
"231",7297,1844086,"IL"
"232",7298,892233,"IL"
"233",7299,7536744,"IL"
"234",7905,686305,"IL"
"235",7906,217743,"IL"
"236",7907,361799,"IL"
"237",7908,2614100,"IL"
"238",7909,743422,"IL"
"239",7930,580959,"IL"
"240",7931,2286,"IL"
"241",7932,586110,"IL"
"242",7933,21407,"IL"
"243",7934,1234515,"IL"
"244",7950,28,"IL"
"245",7952,88304,"IL"
"246",7953,1158,"IL"
"247",7954,49634,"IL"
"248",7970,11601,"IL"
"249",7971,3,"IL"
"250",7972,117,"IL"
"251",7973,8143,"IL"
"252",7974,96811115,"IL"
"253",7975,2019365,"IL"
"254",7976,88650,"IL"
"255",7977,7378792,"IL"
"256",7978,442580,"IL"
"257",7979,12,"IL"
"258",7994,4990,"IL"
"259",7996,6,"IL"
"260",9312,288202,"IL"
"261",9314,206829,"IL"
"262",9315,2156020,"IL"
"263",9317,75536,"IL"
"264",9318,166833,"IL"
"265",9320,3980,"IL"
"266",9321,7121,"IL"
"267",9322,3825,"IL"
"268",9323,36,"IL"
"269",9324,2798,"IL"
"270",9332,2,"IL"
"271",9817,5120313,"IL"
"272",9823,9615,"IL"
"273",NA,81681985,"IL"
"274",-9999,2329,"MN"
"275",6035,2678820,"MN"
"276",6036,5944364,"MN"
"277",6037,39493,"MN"
"278",6038,1068303,"MN"
"279",6039,872,"MN"
"280",6040,15387,"MN"
"281",6043,22736440,"MN"
"282",6044,77204,"MN"
"283",6046,13254128,"MN"
"284",6048,103329,"MN"
"285",6049,104029,"MN"
"286",6051,2801583,"MN"
"287",6100,3,"MN"
"288",6101,1367675,"MN"
"289",6102,908481,"MN"
"290",6106,14678407,"MN"
"291",6130,12793241,"MN"
"292",6131,87795,"MN"
"293",6159,555,"MN"
"294",6163,66821,"MN"
"295",6164,1456403,"MN"
"296",6165,246565,"MN"
"297",6199,5,"MN"
"298",6209,395726,"MN"
"299",6211,1724541,"MN"
"300",6212,503149,"MN"
"301",6213,12877,"MN"
"302",6228,2273613,"MN"
"303",6230,3656455,"MN"
"304",6231,2073513,"MN"
"305",6232,2372782,"MN"
"306",6238,78612,"MN"
"307",6251,4255,"MN"
"308",6305,175415,"MN"
"309",6310,83,"MN"
"310",6317,4353,"MN"
"311",6318,9,"MN"
"312",6437,4859,"MN"
"313",6438,30932,"MN"
"314",6450,2484335,"MN"
"315",6451,63956,"MN"
"316",6501,117990,"MN"
"317",6502,20561,"MN"
"318",6576,21,"MN"
"319",6609,48235,"MN"
"320",6613,283070,"MN"
"321",6631,175295,"MN"
"322",7191,419659,"MN"
"323",7192,176768,"MN"
"324",7193,514613,"MN"
"325",7195,161650,"MN"
"326",7196,57754,"MN"
"327",7197,121474,"MN"
"328",7198,16172,"MN"
"329",7199,6506,"MN"
"330",7200,33052,"MN"
"331",7292,21008743,"MN"
"332",7295,161747,"MN"
"333",7296,1790226,"MN"
"334",7297,933048,"MN"
"335",7298,379527,"MN"
"336",7299,6439478,"MN"
"337",7900,91372,"MN"
"338",7901,10632,"MN"
"339",7902,28405,"MN"
"340",7903,734038,"MN"
"341",7904,132752,"MN"
"342",7905,642555,"MN"
"343",7906,268766,"MN"
"344",7907,668981,"MN"
"345",7908,1260906,"MN"
"346",7909,540508,"MN"
"347",7920,20341,"MN"
"348",7921,178,"MN"
"349",7922,17512,"MN"
"350",7923,1923,"MN"
"351",7924,90243,"MN"
"352",7930,705401,"MN"
"353",7931,165988,"MN"
"354",7932,245114,"MN"
"355",7933,136136,"MN"
"356",7934,1134291,"MN"
"357",7940,1116,"MN"
"358",7942,6039,"MN"
"359",7943,147,"MN"
"360",7944,12093,"MN"
"361",7950,3,"MN"
"362",7951,352,"MN"
"363",7952,191677,"MN"
"364",7953,21719,"MN"
"365",7954,221303,"MN"
"366",7960,1,"MN"
"367",7961,193,"MN"
"368",7964,44631325,"MN"
"369",7965,1837015,"MN"
"370",7966,61699,"MN"
"371",7967,1602378,"MN"
"372",7968,5369281,"MN"
"373",7970,3484,"MN"
"374",7973,1,"MN"
"375",7974,34295543,"MN"
"376",7975,4784042,"MN"
"377",7976,47214,"MN"
"378",7977,8726810,"MN"
"379",7978,844485,"MN"
"380",9312,179363,"MN"
"381",9314,274133,"MN"
"382",9315,1191150,"MN"
"383",9317,635042,"MN"
"384",9318,1314829,"MN"
"385",9816,10116,"MN"
"386",9817,7875894,"MN"
"387",NA,171308045,"MN"
"388",-9999,4798,"MD"
"389",6015,673881,"MD"
"390",6028,80933,"MD"
"391",6029,4320,"MD"
"392",6030,227676,"MD"
"393",6031,4756042,"MD"
"394",6032,4594,"MD"
"395",6033,202353,"MD"
"396",6034,377348,"MD"
"397",6042,584,"MD"
"398",6047,385679,"MD"
"399",6054,24,"MD"
"400",6055,2800,"MD"
"401",6097,13162,"MD"
"402",6098,4923,"MD"
"403",6099,1166,"MD"
"404",6102,191,"MD"
"405",6103,192677,"MD"
"406",6104,1736121,"MD"
"407",6109,174,"MD"
"408",6112,67619,"MD"
"409",6113,3959,"MD"
"410",6115,48,"MD"
"411",6174,639,"MD"
"412",6190,5543,"MD"
"413",6194,9,"MD"
"414",6196,219,"MD"
"415",6199,4,"MD"
"416",6206,161,"MD"
