"Class","NCells","State","County"
"1",6020,"AL","Autauga County"
"2",32995,"AL","Autauga County"
"4",19,"AL","Autauga County"
"5",7064,"AL","Autauga County"
"10",1760,"AL","Autauga County"
"12",71,"AL","Autauga County"
"24",1557,"AL","Autauga County"
"26",3730,"AL","Autauga County"
"27",1,"AL","Autauga County"
"28",170,"AL","Autauga County"
"29",46,"AL","Autauga County"
"37",104303,"AL","Autauga County"
"44",1627,"AL","Autauga County"
"48",559,"AL","Autauga County"
"53",1064,"AL","Autauga County"
"54",32,"AL","Autauga County"
"58",4,"AL","Autauga County"
"59",838,"AL","Autauga County"
"61",7569,"AL","Autauga County"
"67",8,"AL","Autauga County"
"74",1784,"AL","Autauga County"
"111",25149,"AL","Autauga County"
"121",72462,"AL","Autauga County"
"122",21838,"AL","Autauga County"
"123",7387,"AL","Autauga County"
"124",1874,"AL","Autauga County"
"131",2025,"AL","Autauga County"
"141",407777,"AL","Autauga County"
"142",374043,"AL","Autauga County"
"143",108793,"AL","Autauga County"
"152",266098,"AL","Autauga County"
"176",194884,"AL","Autauga County"
"190",83615,"AL","Autauga County"
"195",1072,"AL","Autauga County"
"209",879,"AL","Autauga County"
"216",91,"AL","Autauga County"
"221",63,"AL","Autauga County"
"222",83,"AL","Autauga County"
"226",2,"AL","Autauga County"
"238",36,"AL","Autauga County"
"240",3,"AL","Autauga County"
"1",31596,"AL","Baldwin County"
"2",41005,"AL","Baldwin County"
"4",1344,"AL","Baldwin County"
"5",67668,"AL","Baldwin County"
"6",97,"AL","Baldwin County"
"10",130544,"AL","Baldwin County"
"12",1787,"AL","Baldwin County"
"24",1161,"AL","Baldwin County"
"26",44447,"AL","Baldwin County"
"27",1237,"AL","Baldwin County"
"28",17,"AL","Baldwin County"
"29",4500,"AL","Baldwin County"
"37",42383,"AL","Baldwin County"
"44",448,"AL","Baldwin County"
"46",5900,"AL","Baldwin County"
"48",4,"AL","Baldwin County"
"53",37,"AL","Baldwin County"
"59",38123,"AL","Baldwin County"
"61",61386,"AL","Baldwin County"
"70",12,"AL","Baldwin County"
"74",35261,"AL","Baldwin County"
"92",25,"AL","Baldwin County"
"111",146146,"AL","Baldwin County"
"121",226299,"AL","Baldwin County"
"122",81961,"AL","Baldwin County"
"123",35707,"AL","Baldwin County"
"124",9225,"AL","Baldwin County"
"131",17368,"AL","Baldwin County"
"141",8040,"AL","Baldwin County"
"142",1345165,"AL","Baldwin County"
"143",48079,"AL","Baldwin County"
"152",479956,"AL","Baldwin County"
"176",434058,"AL","Baldwin County"
"190",1266806,"AL","Baldwin County"
"195",72008,"AL","Baldwin County"
"212",10,"AL","Baldwin County"
"225",853,"AL","Baldwin County"
"226",138,"AL","Baldwin County"
"236",655,"AL","Baldwin County"
"238",17448,"AL","Baldwin County"
"240",7486,"AL","Baldwin County"
"241",29,"AL","Baldwin County"
"242",18,"AL","Baldwin County"
"1",6629,"AL","Barbour County"
"2",20349,"AL","Barbour County"
"4",688,"AL","Barbour County"
"5",4071,"AL","Barbour County"
"10",21011,"AL","Barbour County"
"24",486,"AL","Barbour County"
"26",2259,"AL","Barbour County"
"27",244,"AL","Barbour County"
"28",701,"AL","Barbour County"
"29",435,"AL","Barbour County"
"37",116935,"AL","Barbour County"
"44",101,"AL","Barbour County"
"53",245,"AL","Barbour County"
"57",40,"AL","Barbour County"
"58",1,"AL","Barbour County"
"59",1798,"AL","Barbour County"
"61",61754,"AL","Barbour County"
"74",634,"AL","Barbour County"
"92",3,"AL","Barbour County"
"111",52862,"AL","Barbour County"
"121",89638,"AL","Barbour County"
"122",16653,"AL","Barbour County"
"123",5484,"AL","Barbour County"
"124",1605,"AL","Barbour County"
"131",359,"AL","Barbour County"
"141",619533,"AL","Barbour County"
"142",867873,"AL","Barbour County"
"143",115352,"AL","Barbour County"
"152",384632,"AL","Barbour County"
"176",129790,"AL","Barbour County"
"190",66762,"AL","Barbour County"
"195",1367,"AL","Barbour County"
"205",46,"AL","Barbour County"
"209",10,"AL","Barbour County"
"222",1,"AL","Barbour County"
"225",20,"AL","Barbour County"
"226",21,"AL","Barbour County"
"236",18,"AL","Barbour County"
"238",1343,"AL","Barbour County"
"240",7,"AL","Barbour County"
"242",1,"AL","Barbour County"
"1",1811,"AL","Bibb County"
"2",670,"AL","Bibb County"
"5",543,"AL","Bibb County"
"10",38,"AL","Bibb County"
"24",1,"AL","Bibb County"
"26",29,"AL","Bibb County"
"28",7,"AL","Bibb County"
"37",16949,"AL","Bibb County"
"43",3,"AL","Bibb County"
"44",19,"AL","Bibb County"
"53",13,"AL","Bibb County"
"54",2,"AL","Bibb County"
"58",12,"AL","Bibb County"
"59",98,"AL","Bibb County"
"61",540,"AL","Bibb County"
"67",2,"AL","Bibb County"
"69",4,"AL","Bibb County"
"74",10,"AL","Bibb County"
"111",12127,"AL","Bibb County"
"121",66676,"AL","Bibb County"
"122",7203,"AL","Bibb County"
"123",3169,"AL","Bibb County"
"124",591,"AL","Bibb County"
"131",4328,"AL","Bibb County"
"141",580204,"AL","Bibb County"
"142",606005,"AL","Bibb County"
"143",134743,"AL","Bibb County"
"152",181683,"AL","Bibb County"
"176",137279,"AL","Bibb County"
"190",48657,"AL","Bibb County"
"195",714,"AL","Bibb County"
"1",8919,"AL","Blount County"
"2",6248,"AL","Blount County"
"4",294,"AL","Blount County"
"5",17483,"AL","Blount County"
"10",899,"AL","Blount County"
"24",40,"AL","Blount County"
"26",2810,"AL","Blount County"
"29",2,"AL","Blount County"
"36",21,"AL","Blount County"
"37",83989,"AL","Blount County"
"43",7,"AL","Blount County"
"44",171,"AL","Blount County"
"46",31,"AL","Blount County"
"48",24,"AL","Blount County"
"53",6,"AL","Blount County"
"58",14,"AL","Blount County"
"59",9,"AL","Blount County"
"61",689,"AL","Blount County"
"67",2,"AL","Blount County"
"69",3,"AL","Blount County"
"74",16,"AL","Blount County"
"111",20002,"AL","Blount County"
"121",89325,"AL","Blount County"
"122",23254,"AL","Blount County"
"123",6608,"AL","Blount County"
"124",1498,"AL","Blount County"
"131",5161,"AL","Blount County"
"141",760122,"AL","Blount County"
"142",192446,"AL","Blount County"
"143",48437,"AL","Blount County"
"152",57150,"AL","Blount County"
"176",552540,"AL","Blount County"
"190",6041,"AL","Blount County"
"195",53,"AL","Blount County"
"216",6,"AL","Blount County"
"225",2,"AL","Blount County"
"1",3598,"AL","Bullock County"
"2",8513,"AL","Bullock County"
"4",59,"AL","Bullock County"
"5",5973,"AL","Bullock County"
"10",5906,"AL","Bullock County"
"24",223,"AL","Bullock County"
"26",1537,"AL","Bullock County"
"27",9,"AL","Bullock County"
"28",119,"AL","Bullock County"
"29",138,"AL","Bullock County"
"37",50244,"AL","Bullock County"
"44",2446,"AL","Bullock County"
"53",5844,"AL","Bullock County"
"57",34,"AL","Bullock County"
"59",1378,"AL","Bullock County"
"61",14632,"AL","Bullock County"
"74",1257,"AL","Bullock County"
"92",30,"AL","Bullock County"
"111",20281,"AL","Bullock County"
"121",60764,"AL","Bullock County"
"122",6027,"AL","Bullock County"
"123",1342,"AL","Bullock County"
"124",336,"AL","Bullock County"
"131",230,"AL","Bullock County"
"141",384338,"AL","Bullock County"
"142",531942,"AL","Bullock County"
"143",131451,"AL","Bullock County"
"152",270734,"AL","Bullock County"
"176",207817,"AL","Bullock County"
"190",88338,"AL","Bullock County"
"195",1127,"AL","Bullock County"
"205",1,"AL","Bullock County"
"209",3,"AL","Bullock County"
"225",43,"AL","Bullock County"
"226",169,"AL","Bullock County"
"236",1,"AL","Bullock County"
"238",23,"AL","Bullock County"
"240",3,"AL","Bullock County"
"1",6298,"AL","Butler County"
"2",5960,"AL","Butler County"
"4",129,"AL","Butler County"
"5",1439,"AL","Butler County"
"10",3419,"AL","Butler County"
"24",282,"AL","Butler County"
"26",1849,"AL","Butler County"
"28",11,"AL","Butler County"
"29",3,"AL","Butler County"
"37",57894,"AL","Butler County"
"44",22,"AL","Butler County"
"48",18,"AL","Butler County"
"53",23,"AL","Butler County"
"54",1,"AL","Butler County"
"57",3,"AL","Butler County"
"58",1,"AL","Butler County"
"59",65,"AL","Butler County"
"61",8799,"AL","Butler County"
"74",345,"AL","Butler County"
"92",1,"AL","Butler County"
"111",9204,"AL","Butler County"
"121",90003,"AL","Butler County"
"122",10274,"AL","Butler County"
"123",3597,"AL","Butler County"
"124",833,"AL","Butler County"
"131",574,"AL","Butler County"
"141",661068,"AL","Butler County"
"142",866103,"AL","Butler County"
"143",53329,"AL","Butler County"
"152",225783,"AL","Butler County"
"176",151603,"AL","Butler County"
"190",79247,"AL","Butler County"
"195",117,"AL","Butler County"
"209",14,"AL","Butler County"
"222",1,"AL","Butler County"
"226",6,"AL","Butler County"
"236",11,"AL","Butler County"
"238",54,"AL","Butler County"
"1",6741,"AL","Calhoun County"
"2",12511,"AL","Calhoun County"
"4",5,"AL","Calhoun County"
"5",11339,"AL","Calhoun County"
"10",3,"AL","Calhoun County"
"24",163,"AL","Calhoun County"
"26",8253,"AL","Calhoun County"
"29",85,"AL","Calhoun County"
