"Class","NCells","State","County"
"1",3090,"AL","Autauga County"
"2",42687,"AL","Autauga County"
"5",4856,"AL","Autauga County"
"10",1217,"AL","Autauga County"
"24",2949,"AL","Autauga County"
"27",8,"AL","Autauga County"
"28",452,"AL","Autauga County"
"37",150825,"AL","Autauga County"
"44",691,"AL","Autauga County"
"46",1,"AL","Autauga County"
"48",2865,"AL","Autauga County"
"53",1,"AL","Autauga County"
"57",811,"AL","Autauga County"
"58",57,"AL","Autauga County"
"59",773,"AL","Autauga County"
"61",5074,"AL","Autauga County"
"67",63,"AL","Autauga County"
"74",939,"AL","Autauga County"
"92",1,"AL","Autauga County"
"111",25955,"AL","Autauga County"
"121",71776,"AL","Autauga County"
"122",22257,"AL","Autauga County"
"123",7517,"AL","Autauga County"
"124",2011,"AL","Autauga County"
"131",2446,"AL","Autauga County"
"141",418678,"AL","Autauga County"
"142",370235,"AL","Autauga County"
"143",111782,"AL","Autauga County"
"152",314591,"AL","Autauga County"
"176",90462,"AL","Autauga County"
"190",81937,"AL","Autauga County"
"195",1543,"AL","Autauga County"
"205",376,"AL","Autauga County"
"209",30,"AL","Autauga County"
"222",22,"AL","Autauga County"
"229",28,"AL","Autauga County"
"238",389,"AL","Autauga County"
"1",39480,"AL","Baldwin County"
"2",65560,"AL","Baldwin County"
"5",34826,"AL","Baldwin County"
"10",150022,"AL","Baldwin County"
"24",1868,"AL","Baldwin County"
"26",2378,"AL","Baldwin County"
"27",1244,"AL","Baldwin County"
"28",2843,"AL","Baldwin County"
"29",3418,"AL","Baldwin County"
"37",35253,"AL","Baldwin County"
"42",1,"AL","Baldwin County"
"43",1287,"AL","Baldwin County"
"46",5457,"AL","Baldwin County"
"59",101574,"AL","Baldwin County"
"61",61556,"AL","Baldwin County"
"67",8,"AL","Baldwin County"
"70",35,"AL","Baldwin County"
"74",26720,"AL","Baldwin County"
"111",142612,"AL","Baldwin County"
"121",222549,"AL","Baldwin County"
"122",82465,"AL","Baldwin County"
"123",35573,"AL","Baldwin County"
"124",9390,"AL","Baldwin County"
"131",19052,"AL","Baldwin County"
"141",7146,"AL","Baldwin County"
"142",1395452,"AL","Baldwin County"
"143",42353,"AL","Baldwin County"
"152",585663,"AL","Baldwin County"
"176",281073,"AL","Baldwin County"
"190",1265486,"AL","Baldwin County"
"195",78234,"AL","Baldwin County"
"226",126,"AL","Baldwin County"
"238",1740,"AL","Baldwin County"
"240",3621,"AL","Baldwin County"
"241",372,"AL","Baldwin County"
"1",1293,"AL","Barbour County"
"2",19194,"AL","Barbour County"
"4",389,"AL","Barbour County"
"5",283,"AL","Barbour County"
"10",7293,"AL","Barbour County"
"24",15498,"AL","Barbour County"
"27",41892,"AL","Barbour County"
"28",8575,"AL","Barbour County"
"29",23,"AL","Barbour County"
"36",143,"AL","Barbour County"
"37",108281,"AL","Barbour County"
"48",30,"AL","Barbour County"
"50",15,"AL","Barbour County"
"57",7,"AL","Barbour County"
"58",7,"AL","Barbour County"
"59",2315,"AL","Barbour County"
"61",84006,"AL","Barbour County"
"67",2,"AL","Barbour County"
"74",395,"AL","Barbour County"
"111",54270,"AL","Barbour County"
"121",88948,"AL","Barbour County"
"122",18008,"AL","Barbour County"
"123",4917,"AL","Barbour County"
"124",1540,"AL","Barbour County"
"131",233,"AL","Barbour County"
"141",637279,"AL","Barbour County"
"142",865807,"AL","Barbour County"
"143",80312,"AL","Barbour County"
"152",441411,"AL","Barbour County"
"176",24696,"AL","Barbour County"
"190",82236,"AL","Barbour County"
"195",750,"AL","Barbour County"
"205",79,"AL","Barbour County"
"219",7,"AL","Barbour County"
"222",16,"AL","Barbour County"
"225",206,"AL","Barbour County"
"238",68,"AL","Barbour County"
"240",1337,"AL","Barbour County"
"1",2445,"AL","Bibb County"
"2",316,"AL","Bibb County"
"5",910,"AL","Bibb County"
"24",26,"AL","Bibb County"
"26",2,"AL","Bibb County"
"28",1,"AL","Bibb County"
"29",1,"AL","Bibb County"
"37",23559,"AL","Bibb County"
"46",4,"AL","Bibb County"
"48",4,"AL","Bibb County"
"59",25,"AL","Bibb County"
"61",5055,"AL","Bibb County"
"92",5,"AL","Bibb County"
"111",12340,"AL","Bibb County"
"121",67223,"AL","Bibb County"
"122",7012,"AL","Bibb County"
"123",2979,"AL","Bibb County"
"124",594,"AL","Bibb County"
"131",4228,"AL","Bibb County"
"141",572910,"AL","Bibb County"
"142",638331,"AL","Bibb County"
"143",126959,"AL","Bibb County"
"152",230559,"AL","Bibb County"
"176",63402,"AL","Bibb County"
"190",44485,"AL","Bibb County"
"195",755,"AL","Bibb County"
"1",5538,"AL","Blount County"
"2",9131,"AL","Blount County"
"4",1,"AL","Blount County"
"5",24138,"AL","Blount County"
"10",882,"AL","Blount County"
"24",1257,"AL","Blount County"
"26",835,"AL","Blount County"
"27",800,"AL","Blount County"
"28",146,"AL","Blount County"
"31",2,"AL","Blount County"
"36",13,"AL","Blount County"
"37",89709,"AL","Blount County"
"46",88,"AL","Blount County"
"48",7,"AL","Blount County"
"58",8,"AL","Blount County"
"59",73,"AL","Blount County"
"61",1763,"AL","Blount County"
"67",18,"AL","Blount County"
"111",20939,"AL","Blount County"
"121",89202,"AL","Blount County"
"122",23042,"AL","Blount County"
"123",6706,"AL","Blount County"
"124",1516,"AL","Blount County"
"131",5386,"AL","Blount County"
"141",820612,"AL","Blount County"
"142",194902,"AL","Blount County"
"143",45725,"AL","Blount County"
"152",132168,"AL","Blount County"
"176",407167,"AL","Blount County"
"190",2476,"AL","Blount County"
"195",46,"AL","Blount County"
"205",9,"AL","Blount County"
"225",4,"AL","Blount County"
"229",12,"AL","Blount County"
"240",1,"AL","Blount County"
"1",4756,"AL","Bullock County"
"2",18289,"AL","Bullock County"
"4",11,"AL","Bullock County"
"5",76,"AL","Bullock County"
"10",1027,"AL","Bullock County"
"24",330,"AL","Bullock County"
"26",3,"AL","Bullock County"
"27",2843,"AL","Bullock County"
"28",3514,"AL","Bullock County"
"29",4,"AL","Bullock County"
"36",3,"AL","Bullock County"
"37",55936,"AL","Bullock County"
"44",18,"AL","Bullock County"
"48",37,"AL","Bullock County"
"57",9,"AL","Bullock County"
"59",4991,"AL","Bullock County"
"61",18462,"AL","Bullock County"
"67",2,"AL","Bullock County"
"74",344,"AL","Bullock County"
"92",1,"AL","Bullock County"
"111",20351,"AL","Bullock County"
"121",59836,"AL","Bullock County"
"122",7325,"AL","Bullock County"
"123",1302,"AL","Bullock County"
"124",363,"AL","Bullock County"
"131",267,"AL","Bullock County"
"141",386166,"AL","Bullock County"
"142",543929,"AL","Bullock County"
"143",123651,"AL","Bullock County"
"152",318319,"AL","Bullock County"
"176",129645,"AL","Bullock County"
"190",103173,"AL","Bullock County"
"195",1643,"AL","Bullock County"
"205",8,"AL","Bullock County"
