"Class","NCells","State","County"
"1",11164,"AL","Autauga County"
"2",49621,"AL","Autauga County"
"4",991,"AL","Autauga County"
"5",1702,"AL","Autauga County"
"10",924,"AL","Autauga County"
"24",192,"AL","Autauga County"
"26",64,"AL","Autauga County"
"27",50,"AL","Autauga County"
"28",222,"AL","Autauga County"
"29",25,"AL","Autauga County"
"37",159091,"AL","Autauga County"
"46",2,"AL","Autauga County"
"57",1604,"AL","Autauga County"
"58",415,"AL","Autauga County"
"59",1268,"AL","Autauga County"
"61",1516,"AL","Autauga County"
"67",122,"AL","Autauga County"
"68",1,"AL","Autauga County"
"70",1,"AL","Autauga County"
"74",2448,"AL","Autauga County"
"92",10,"AL","Autauga County"
"111",24892,"AL","Autauga County"
"121",67781,"AL","Autauga County"
"122",25667,"AL","Autauga County"
"123",8397,"AL","Autauga County"
"124",2189,"AL","Autauga County"
"131",2375,"AL","Autauga County"
"141",332073,"AL","Autauga County"
"142",400637,"AL","Autauga County"
"143",200624,"AL","Autauga County"
"152",121290,"AL","Autauga County"
"176",154807,"AL","Autauga County"
"190",162689,"AL","Autauga County"
"195",4519,"AL","Autauga County"
"220",8,"AL","Autauga County"
"225",4,"AL","Autauga County"
"236",2,"AL","Autauga County"
"240",8,"AL","Autauga County"
"1",58415,"AL","Baldwin County"
"2",103049,"AL","Baldwin County"
"4",1696,"AL","Baldwin County"
"5",51093,"AL","Baldwin County"
"6",66,"AL","Baldwin County"
"10",110640,"AL","Baldwin County"
"12",1352,"AL","Baldwin County"
"24",2425,"AL","Baldwin County"
"26",1723,"AL","Baldwin County"
"27",19,"AL","Baldwin County"
"28",1358,"AL","Baldwin County"
"29",9855,"AL","Baldwin County"
"37",43984,"AL","Baldwin County"
"44",7,"AL","Baldwin County"
"46",4635,"AL","Baldwin County"
"48",6,"AL","Baldwin County"
"57",1,"AL","Baldwin County"
"59",114919,"AL","Baldwin County"
"61",1967,"AL","Baldwin County"
"67",2,"AL","Baldwin County"
"70",252,"AL","Baldwin County"
"74",25724,"AL","Baldwin County"
"92",3,"AL","Baldwin County"
"111",142384,"AL","Baldwin County"
