"Class","NCells","State","County"
"1",7233,"AL","Autauga County"
"2",40667,"AL","Autauga County"
"4",334,"AL","Autauga County"
"5",7878,"AL","Autauga County"
"10",383,"AL","Autauga County"
"24",1260,"AL","Autauga County"
"26",1143,"AL","Autauga County"
"27",20,"AL","Autauga County"
"28",233,"AL","Autauga County"
"29",139,"AL","Autauga County"
"37",132975,"AL","Autauga County"
"44",1,"AL","Autauga County"
"46",17,"AL","Autauga County"
"47",37,"AL","Autauga County"
"48",2892,"AL","Autauga County"
"53",25,"AL","Autauga County"
"59",769,"AL","Autauga County"
"61",11139,"AL","Autauga County"
"67",9,"AL","Autauga County"
"74",2711,"AL","Autauga County"
"111",26880,"AL","Autauga County"
"121",71607,"AL","Autauga County"
"122",22732,"AL","Autauga County"
"123",7531,"AL","Autauga County"
"124",1991,"AL","Autauga County"
"131",4684,"AL","Autauga County"
"141",412362,"AL","Autauga County"
"142",357028,"AL","Autauga County"
"143",128638,"AL","Autauga County"
"152",293602,"AL","Autauga County"
"176",104346,"AL","Autauga County"
"190",95406,"AL","Autauga County"
"195",2337,"AL","Autauga County"
"205",77,"AL","Autauga County"
"219",76,"AL","Autauga County"
"225",231,"AL","Autauga County"
"226",2,"AL","Autauga County"
"1",58394,"AL","Baldwin County"
"2",70200,"AL","Baldwin County"
"4",6399,"AL","Baldwin County"
"5",104483,"AL","Baldwin County"
"10",107305,"AL","Baldwin County"
"12",943,"AL","Baldwin County"
"24",182,"AL","Baldwin County"
"26",1985,"AL","Baldwin County"
"27",1,"AL","Baldwin County"
"28",112,"AL","Baldwin County"
"29",16972,"AL","Baldwin County"
"37",34110,"AL","Baldwin County"
"43",209,"AL","Baldwin County"
"46",4059,"AL","Baldwin County"
"48",26,"AL","Baldwin County"
"59",87776,"AL","Baldwin County"
"61",8762,"AL","Baldwin County"
"70",221,"AL","Baldwin County"
"74",27500,"AL","Baldwin County"
"92",41,"AL","Baldwin County"
"111",145826,"AL","Baldwin County"
"121",224034,"AL","Baldwin County"
"122",81798,"AL","Baldwin County"
"123",35192,"AL","Baldwin County"
"124",9723,"AL","Baldwin County"
"131",22884,"AL","Baldwin County"
"141",14265,"AL","Baldwin County"
"142",1343749,"AL","Baldwin County"
"143",55464,"AL","Baldwin County"
"152",577079,"AL","Baldwin County"
"176",295064,"AL","Baldwin County"
"190",1293547,"AL","Baldwin County"
"195",72655,"AL","Baldwin County"
"212",3,"AL","Baldwin County"
"226",64,"AL","Baldwin County"
"238",378,"AL","Baldwin County"
"240",5031,"AL","Baldwin County"
"242",1,"AL","Baldwin County"
"1",9244,"AL","Barbour County"
"2",22207,"AL","Barbour County"
"4",70,"AL","Barbour County"
"5",1076,"AL","Barbour County"
"6",3,"AL","Barbour County"
"10",10934,"AL","Barbour County"
"12",15,"AL","Barbour County"
