"Class","NCells","State","County"
"1",5874,"AL","Autauga County"
"2",34175,"AL","Autauga County"
"4",146,"AL","Autauga County"
"5",4327,"AL","Autauga County"
"10",936,"AL","Autauga County"
"24",4830,"AL","Autauga County"
"26",1837,"AL","Autauga County"
"28",7,"AL","Autauga County"
"29",3,"AL","Autauga County"
"37",87488,"AL","Autauga County"
"44",372,"AL","Autauga County"
"48",794,"AL","Autauga County"
"53",312,"AL","Autauga County"
"54",1,"AL","Autauga County"
"59",309,"AL","Autauga County"
"61",5084,"AL","Autauga County"
"67",17,"AL","Autauga County"
"74",295,"AL","Autauga County"
"92",2,"AL","Autauga County"
"111",23541,"AL","Autauga County"
"121",69232,"AL","Autauga County"
"122",20703,"AL","Autauga County"
"123",5884,"AL","Autauga County"
"124",1391,"AL","Autauga County"
"131",997,"AL","Autauga County"
"141",432797,"AL","Autauga County"
"142",364500,"AL","Autauga County"
"143",149123,"AL","Autauga County"
"152",247503,"AL","Autauga County"
"176",217650,"AL","Autauga County"
"190",58153,"AL","Autauga County"
"195",739,"AL","Autauga County"
"209",188,"AL","Autauga County"
"229",149,"AL","Autauga County"
"236",2,"AL","Autauga County"
"238",34,"AL","Autauga County"
"1",15593,"AL","Baldwin County"
"2",40935,"AL","Baldwin County"
"4",282,"AL","Baldwin County"
"5",34640,"AL","Baldwin County"
"10",194613,"AL","Baldwin County"
"12",901,"AL","Baldwin County"
"24",1442,"AL","Baldwin County"
"26",20894,"AL","Baldwin County"
"27",840,"AL","Baldwin County"
"28",802,"AL","Baldwin County"
"29",5905,"AL","Baldwin County"
"37",35680,"AL","Baldwin County"
"44",1520,"AL","Baldwin County"
"46",5130,"AL","Baldwin County"
"48",3,"AL","Baldwin County"
"59",27928,"AL","Baldwin County"
"61",81659,"AL","Baldwin County"
"74",28179,"AL","Baldwin County"
"92",1,"AL","Baldwin County"
"111",139724,"AL","Baldwin County"
"121",228476,"AL","Baldwin County"
"122",77809,"AL","Baldwin County"
"123",22962,"AL","Baldwin County"
"124",6198,"AL","Baldwin County"
"131",16542,"AL","Baldwin County"
"141",11773,"AL","Baldwin County"
"142",1882353,"AL","Baldwin County"
"143",52357,"AL","Baldwin County"
"152",345490,"AL","Baldwin County"
"176",407152,"AL","Baldwin County"
"190",936658,"AL","Baldwin County"
"195",68363,"AL","Baldwin County"
"212",9,"AL","Baldwin County"
"236",1,"AL","Baldwin County"
"238",12112,"AL","Baldwin County"
"240",1511,"AL","Baldwin County"
"1",5645,"AL","Barbour County"
"2",19720,"AL","Barbour County"
"4",713,"AL","Barbour County"
"5",866,"AL","Barbour County"
"10",31004,"AL","Barbour County"
"24",708,"AL","Barbour County"
"26",1749,"AL","Barbour County"
"27",247,"AL","Barbour County"
"28",165,"AL","Barbour County"
"29",513,"AL","Barbour County"
"37",96684,"AL","Barbour County"
"44",76,"AL","Barbour County"
"48",9,"AL","Barbour County"
"53",223,"AL","Barbour County"
"58",2,"AL","Barbour County"
"59",675,"AL","Barbour County"
"61",94567,"AL","Barbour County"
"74",491,"AL","Barbour County"
"92",5,"AL","Barbour County"
"111",49962,"AL","Barbour County"
"121",90574,"AL","Barbour County"
"122",16745,"AL","Barbour County"
"123",4315,"AL","Barbour County"
"124",1400,"AL","Barbour County"
"131",759,"AL","Barbour County"
"141",610751,"AL","Barbour County"
"142",866477,"AL","Barbour County"
"143",154477,"AL","Barbour County"
"152",347119,"AL","Barbour County"
"176",118966,"AL","Barbour County"
"190",74945,"AL","Barbour County"
"195",579,"AL","Barbour County"
"209",6,"AL","Barbour County"
"225",302,"AL","Barbour County"
"226",12,"AL","Barbour County"
"236",84,"AL","Barbour County"
"238",193,"AL","Barbour County"
"240",33,"AL","Barbour County"
"1",1812,"AL","Bibb County"
"2",356,"AL","Bibb County"
"4",7,"AL","Bibb County"
"5",1178,"AL","Bibb County"
"10",1,"AL","Bibb County"
"24",149,"AL","Bibb County"
"26",223,"AL","Bibb County"
"37",14153,"AL","Bibb County"
"44",44,"AL","Bibb County"
"46",1,"AL","Bibb County"
"48",20,"AL","Bibb County"
"54",3,"AL","Bibb County"
"59",94,"AL","Bibb County"
"61",247,"AL","Bibb County"
"67",1,"AL","Bibb County"
"74",2,"AL","Bibb County"
"92",1,"AL","Bibb County"
"111",9897,"AL","Bibb County"
"121",66137,"AL","Bibb County"
"122",6409,"AL","Bibb County"
"123",1615,"AL","Bibb County"
"124",358,"AL","Bibb County"
"131",2876,"AL","Bibb County"
"141",622095,"AL","Bibb County"
"142",652353,"AL","Bibb County"
"143",152193,"AL","Bibb County"
"152",108054,"AL","Bibb County"
"176",141166,"AL","Bibb County"
"190",22583,"AL","Bibb County"
"195",99,"AL","Bibb County"
"238",3,"AL","Bibb County"
"1",12145,"AL","Blount County"
"2",7949,"AL","Blount County"
"4",15,"AL","Blount County"
