"Class","NCells","State","County"
"1",3909,"AL","Autauga County"
"2",31351,"AL","Autauga County"
"4",1393,"AL","Autauga County"
"5",14455,"AL","Autauga County"
"6",454,"AL","Autauga County"
"10",895,"AL","Autauga County"
"12",34,"AL","Autauga County"
"24",2151,"AL","Autauga County"
"26",3216,"AL","Autauga County"
"28",86,"AL","Autauga County"
"29",461,"AL","Autauga County"
"36",5,"AL","Autauga County"
"37",114363,"AL","Autauga County"
"48",773,"AL","Autauga County"
"53",473,"AL","Autauga County"
"57",1,"AL","Autauga County"
"58",1,"AL","Autauga County"
"59",708,"AL","Autauga County"
"61",17281,"AL","Autauga County"
"67",3,"AL","Autauga County"
"68",2,"AL","Autauga County"
"74",1148,"AL","Autauga County"
"111",26113,"AL","Autauga County"
"121",71609,"AL","Autauga County"
"122",22852,"AL","Autauga County"
"123",7331,"AL","Autauga County"
"124",1941,"AL","Autauga County"
"131",2985,"AL","Autauga County"
"141",489439,"AL","Autauga County"
"142",364050,"AL","Autauga County"
"143",82798,"AL","Autauga County"
"152",277666,"AL","Autauga County"
"176",114108,"AL","Autauga County"
"190",82720,"AL","Autauga County"
"195",2431,"AL","Autauga County"
"205",12,"AL","Autauga County"
"222",98,"AL","Autauga County"
"226",30,"AL","Autauga County"
"229",48,"AL","Autauga County"
"240",1,"AL","Autauga County"
"1",44612,"AL","Baldwin County"
"2",68561,"AL","Baldwin County"
"4",9523,"AL","Baldwin County"
"5",94041,"AL","Baldwin County"
"10",128942,"AL","Baldwin County"
"12",816,"AL","Baldwin County"
"24",1892,"AL","Baldwin County"
"26",16690,"AL","Baldwin County"
"27",2,"AL","Baldwin County"
"28",1849,"AL","Baldwin County"
"29",8336,"AL","Baldwin County"
"37",54901,"AL","Baldwin County"
"46",5570,"AL","Baldwin County"
"47",266,"AL","Baldwin County"
"48",4,"AL","Baldwin County"
"59",66986,"AL","Baldwin County"
"61",9983,"AL","Baldwin County"
"70",119,"AL","Baldwin County"
"74",30535,"AL","Baldwin County"
"111",146731,"AL","Baldwin County"
"121",223301,"AL","Baldwin County"
"122",81308,"AL","Baldwin County"
"123",35216,"AL","Baldwin County"
"124",9550,"AL","Baldwin County"
"131",20291,"AL","Baldwin County"
"141",19860,"AL","Baldwin County"
"142",1368520,"AL","Baldwin County"
"143",51937,"AL","Baldwin County"
"152",589348,"AL","Baldwin County"
"176",274923,"AL","Baldwin County"
"190",1264741,"AL","Baldwin County"
"195",68567,"AL","Baldwin County"
"212",103,"AL","Baldwin County"
"225",33,"AL","Baldwin County"
"226",298,"AL","Baldwin County"
"236",400,"AL","Baldwin County"
"238",2574,"AL","Baldwin County"
"240",5105,"AL","Baldwin County"
"242",3,"AL","Baldwin County"
"1",5055,"AL","Barbour County"
"2",25825,"AL","Barbour County"
"4",120,"AL","Barbour County"
"5",2171,"AL","Barbour County"
"6",10,"AL","Barbour County"
"10",11865,"AL","Barbour County"
"24",2808,"AL","Barbour County"
"26",11,"AL","Barbour County"
"27",23034,"AL","Barbour County"
"28",21269,"AL","Barbour County"
"29",343,"AL","Barbour County"
"37",110629,"AL","Barbour County"
"44",17,"AL","Barbour County"
"48",1,"AL","Barbour County"
"50",37,"AL","Barbour County"
"57",145,"AL","Barbour County"
"58",94,"AL","Barbour County"
"59",5358,"AL","Barbour County"
"61",71668,"AL","Barbour County"
"74",1314,"AL","Barbour County"
"92",3,"AL","Barbour County"
"111",53982,"AL","Barbour County"
"121",88533,"AL","Barbour County"
"122",18161,"AL","Barbour County"
"123",5143,"AL","Barbour County"
"124",1529,"AL","Barbour County"
"131",712,"AL","Barbour County"
"141",620880,"AL","Barbour County"
"142",868634,"AL","Barbour County"
"143",103612,"AL","Barbour County"
"152",441151,"AL","Barbour County"
"176",29508,"AL","Barbour County"
"190",75818,"AL","Barbour County"
"195",1617,"AL","Barbour County"
"205",36,"AL","Barbour County"
"225",2,"AL","Barbour County"
"226",258,"AL","Barbour County"
"236",1,"AL","Barbour County"
"238",208,"AL","Barbour County"
"240",163,"AL","Barbour County"
"242",36,"AL","Barbour County"
"1",562,"AL","Bibb County"
"2",340,"AL","Bibb County"
"4",8,"AL","Bibb County"
"5",2401,"AL","Bibb County"
"10",12,"AL","Bibb County"
"24",17,"AL","Bibb County"
"26",643,"AL","Bibb County"
"29",19,"AL","Bibb County"
"37",20351,"AL","Bibb County"
"48",18,"AL","Bibb County"
"59",15,"AL","Bibb County"
"61",2479,"AL","Bibb County"
"74",26,"AL","Bibb County"
"92",1,"AL","Bibb County"
"111",13115,"AL","Bibb County"
"121",66987,"AL","Bibb County"
"122",7229,"AL","Bibb County"
"123",2991,"AL","Bibb County"
"124",609,"AL","Bibb County"
"131",5181,"AL","Bibb County"
"141",563379,"AL","Bibb County"
"142",638321,"AL","Bibb County"
"143",132789,"AL","Bibb County"
"152",241993,"AL","Bibb County"
"176",65309,"AL","Bibb County"
"190",38482,"AL","Bibb County"
"195",846,"AL","Bibb County"
"209",2,"AL","Bibb County"
"222",4,"AL","Bibb County"
"229",1,"AL","Bibb County"
"1",8700,"AL","Blount County"
"2",8738,"AL","Blount County"
"4",106,"AL","Blount County"
"5",19825,"AL","Blount County"
"6",1,"AL","Blount County"
"10",1039,"AL","Blount County"
"12",1,"AL","Blount County"
"24",95,"AL","Blount County"
"26",2469,"AL","Blount County"
"27",1,"AL","Blount County"
"28",1,"AL","Blount County"
"29",182,"AL","Blount County"
"31",14,"AL","Blount County"
"36",27,"AL","Blount County"
