VALUE,CLASS_NAME,RED,GREEN,BLUE,OPACITY,GROUP,CROP_TYPE,HERB_STATUS,POLL_DEP,POLLDEP_SOURCE
131,Barren,0.8,0.749019608,0.639215686,1,N,,T/NA,,
141,Deciduous Forest,0.576470588,0.8,0.576470588,1,N,,T/NA,,
142,Evergreen Forest,0.576470588,0.8,0.576470588,1,N,,T/NA,,
143,Mixed Forest,0.576470588,0.8,0.576470588,1,N,,T/NA,,
152,Shrubland,0.776470588,0.839215686,0.619607843,1,N,,T/NA,,
176,Grass/Pasture,0.909803922,1,0.749019608,1,A,,T/NA,,
190,Woody Wetlands,0.498039216,0.698039216,0.698039216,1,N,,T/NA,,
195,Herbaceous Wetlands,0.498039216,0.698039216,0.698039216,1,N,,T/NA,,
204,Pistachios,0,1,0.549019608,1,A,FVS,S,UK,
205,Triticale,0.839215686,0.619607843,0.737254902,1,A,FC,T/NA,NI,Klein_2007
206,Carrots,1,0.4,0.4,1,A,FVS,S,IS,Klein_2007
207,Asparagus,1,0.4,0.4,1,A,FVS,S,IS,Klein_2007
208,Garlic,1,0.4,0.4,1,A,FVS,S,IB,Klein_2007
209,Cantaloupes,1,0.4,0.4,1,A,FVS,S,E,Klein_2007
210,Prunes,1,0.556862745,0.666666667,1,A,FVS,S,G,Klein_2007
211,Olives,0.2,0.28627451,0.2,1,A,FVS,S,NI,Klein_2007
212,Oranges,0.898039216,0.439215686,0.149019608,1,A,FVS,S,L,Klein_2007
213,Honeydew Melons,1,0.4,0.4,1,A,FVS,S,E,Klein_2007
214,Broccoli,1,0.4,0.4,1,A,FVS,S,IS,Klein_2007
216,Peppers,1,0.4,0.4,1,A,FVS,S,L,Klein_2007
217,Pomegranates,0.698039216,0.607843137,0.439215686,1,A,FVS,S,M,Klein_2007
218,Nectarines,1,0.556862745,0.666666667,1,A,FVS,S,G,Klein_2007
219,Greens,1,0.4,0.4,1,A,FVS,S,UK,
220,Plums,1,0.556862745,0.666666667,1,A,FVS,S,G,Klein_2007
221,Strawberries,1,0.4,0.4,1,A,FVS,S,M,Klein_2007
222,Squash,1,0.4,0.4,1,A,FVS,S,E,Klein_2007
223,Apricots,1,0.556862745,0.666666667,1,A,FVS,S,G,Klein_2007
224,Vetch,0,0.68627451,0.298039216,1,A,FC,S,SI,
225,Dbl Crop WinWht/Corn,1,0.82745098,0,1,A,FC,T/NA,NI,Klein_2007
226,Dbl Crop Oats/Corn,1,0.82745098,0,1,A,FC,T/NA,NI,Klein_2007
227,Lettuce,1,0.4,0.4,1,A,FVS,S,IS,Klein_2007
229,Pumpkins,1,0.4,0.4,1,A,FVS,S,E,Klein_2007
230,Dbl Crop Lettuce/Durum Wht,0.537254902,0.388235294,0.329411765,1,A,FC,T/NA,IS,Klein_2007
231,Dbl Crop Lettuce/Cantaloupe,1,0.4,0.4,1,A,FC,S,IS,Klein_2007
232,Dbl Crop Lettuce/Cotton,1,0.149019608,0.149019608,1,A,FC,S,IS,Klein_2007
233,Dbl Crop Lettuce/Barley,0.88627451,0,0.48627451,1,A,FC,T/NA,IS,Klein_2007
234,Dbl Crop Durum Wht/Sorghum,1,0.619607843,0.047058824,1,A,FC,T/NA,NI,Klein_2007
235,Dbl Crop Barley/Sorghum,1,0.619607843,0.047058824,1,A,FC,T/NA,NI,Klein_2007
236,Dbl Crop WinWht/Sorghum,0.647058824,0.439215686,0,1,A,FC,T/NA,NI,Klein_2007
237,Dbl Crop Barley/Corn,1,0.82745098,0,1,A,FC,T/NA,NI,Klein_2007
238,Dbl Crop WinWht/Cotton,0.647058824,0.439215686,0,1,A,FC,T/NA,NI,Klein_2007
239,Dbl Crop Soybeans/Cotton,0.149019608,0.439215686,0,1,A,FC,T/NA,M,Klein_2007
240,Dbl Crop Soybeans/Oats,0.149019608,0.439215686,0,1,A,FC,T/NA,M,Klein_2007
241,Dbl Crop Corn/Soybeans,1,0.82745098,0,1,A,FC,T/NA,NI,Klein_2007
242,Blueberries,0,0,0.6,1,A,FVS,S,G,Klein_2007
243,Cabbage,1,0.4,0.4,1,A,FVS,S,IS,Klein_2007
244,Cauliflower,1,0.4,0.4,1,A,FVS,S,IS,Klein_2007
245,Celery,1,0.4,0.4,1,A,FVS,S,IS,Klein_2007
246,Radishes,1,0.4,0.4,1,A,FVS,S,IS,Klein_2007
247,Turnips,1,0.4,0.4,1,A,FVS,S,G,Klein_2007
248,Eggplants,1,0.4,0.4,1,A,FVS,S,M,Klein_2007
249,Gourds,1,0.4,0.4,1,A,FVS,S,E,Klein_2007
250,Cranberries,1,0.4,0.4,1,A,FVS,S,G,Klein_2007
254,Dbl Crop Barley/Soybeans,0.149019608,0.439215686,0,1,A,FC,T/NA,NI,Klein_2007
