"","NVC_Class","CDL_Class","CDLYear","State","Mismatch_NCells","Mismatch_PctTile"
"110",7960,21,2014,"UT",1,1.00000070030267
"111",7960,21,2014,"WA",2,1.00000157602426
"112",7960,21,2015,"OR",38,1.00002456898752
"113",7960,21,2018,"OR",19,1.00001228481864
"114",7960,21,2019,"OR",4,1.00000258860303
"115",7960,21,2020,"ID",4,1.00000304605947
"116",7960,21,2020,"OR",440,1.00028446304219
"117",7960,21,2021,"OR",175,1.00011324293573
"118",7960,23,2012,"ID",35,1.00002657857588
"119",7960,23,2012,"OR",5318,1.00344123792956
"120",7960,23,2012,"UT",22,1.0000153917731
"121",7960,23,2012,"WA",482,1.00037985112869
"122",7960,23,2013,"ID",5,1.00000379585872
"123",7960,23,2013,"OR",1292,1.00083751206118
"124",7960,23,2013,"WA",64,1.00005043802994
"125",7960,23,2014,"ID",28,1.00002125680882
"126",7960,23,2014,"OR",20,1.00001295584917
"127",7960,23,2014,"WA",3,1.00000236403639
"128",7960,23,2015,"ID",12,1.00000911006092
"129",7960,23,2015,"OR",36,1.00002328118351
"130",7960,23,2016,"OR",1,1.00000064715076
"131",7960,23,2017,"OR",191,1.00012359631243
"132",7960,23,2019,"OR",208,1.00013455124046
"133",7960,23,2019,"WA",4,1.0000031534974
"134",7960,23,2020,"OR",47,1.00003041849301
"135",7960,23,2020,"WA",1,1.00000078801213
"136",7960,23,2021,"OR",21,1.0000135862674
"137",7960,23,2021,"WA",1,1.00000078801213
"138",7960,24,2012,"CA",10,1.00001002893129
"139",7960,24,2012,"CO",2,1.00000145935301
"140",7960,24,2012,"ID",627,1.0004760053791
"141",7960,24,2012,"NM",77,1.00006023963792
"142",7960,24,2012,"OK",259,1.00022675527988
"143",7960,24,2012,"OR",18200,1.01177523327543
"144",7960,24,2012,"TX",21,1.00000952643922
"145",7960,24,2012,"UT",49,1.00003428573617
"146",7960,24,2012,"WA",1577,1.00124272633767
"147",7960,24,2013,"CO",23,1.0000168012836
"148",7960,24,2013,"ID",29,1.00002201832369
"149",7960,24,2013,"NM",3,1.00000235290772
"150",7960,24,2013,"OK",7,1.00000613192038
"151",7960,24,2013,"OR",511,1.00033071428094
"152",7960,24,2013,"TX",108,1.00004898881195
"153",7960,24,2013,"UT",1,1.00000070030267
"154",7960,24,2013,"WA",97,1.00007643717652
"155",7960,24,2014,"ID",6,1.00000455503046
"156",7960,24,2014,"OR",191,1.00012361736474
"157",7960,24,2014,"UT",1,1.00000069962605
"158",7960,24,2014,"WA",45,1.00003546054581
"159",7960,24,2015,"NM",11,1.00000862688569
"160",7960,24,2015,"OK",6,1.00000525222038
"161",7960,24,2015,"OR",54,1.00003494419163
"162",7960,24,2015,"TX",51,1.00002314253258
"163",7960,24,2016,"ID",70,1.00005314202205
"164",7960,24,2016,"OR",98,1.00006340063194
"165",7960,24,2017,"OR",362,1.00023415356833
"166",7960,24,2018,"ID",152,1.00011539410503
"167",7960,24,2018,"OR",88,1.00005693432237
"168",7960,24,2019,"OR",196,1.00012681478832
"169",7960,24,2019,"WA",2,1.00000157602426
"170",7960,24,2020,"OR",88,1.00005695191298
"171",7960,24,2020,"WA",25,1.00001970121212
"172",7960,24,2021,"OR",59,1.00003817149867
"173",7960,26,2012,"OK",1,1.0000008744408
"174",7960,27,2012,"CA",11,1.00001104226981
"175",7960,27,2012,"NM",477,1.00037294670563
"176",7960,27,2012,"OR",67,1.00004333116148
"177",7960,27,2012,"WA",6,1.00000473423721
"178",7960,27,2013,"OK",3,1.00000262827516
"179",7960,27,2013,"OR",1,1.00000064650101
"180",7960,27,2013,"WA",6,1.00000472807277
"181",7960,27,2014,"NM",1,1.00000078408127
"182",7960,27,2014,"OR",32,1.00002070752472
"183",7960,27,2014,"WA",2,1.00000157602426
"184",7960,28,2012,"CA",11,1.00001104091326
"185",7960,28,2012,"CO",43,1.00003138629197
"186",7960,28,2012,"ID",26,1.00001974522354
"187",7960,28,2012,"NM",4,1.00000312738708
"188",7960,28,2012,"OR",2013,1.00130224285068
"189",7960,28,2012,"UT",24,1.00001679711479
"190",7960,28,2012,"WA",59,1.00004654129018
"191",7960,28,2013,"CA",2,1.00000200768542
